1,Laptop Lock,14.99,5,cash,2040
1,Laptop Riser Stand,24.99,6,cash,2040
1,Laptop,799.99,2,cash,2040
1,Pencil,0.99,5,cash,2040
2,Hard Drive,39.99,9,card,4444555566665678
3,Drinks,1.29,8,card,3333444455551234
3,Coffee,0.99,9,card,3333444455551234
4,Webcam,24.98,9,cash,300
5,Solid State Drive,69.95,3,cash,1385
5,Headphones,99.99,9,cash,1385
5,Hard Drive,39.99,4,cash,1385
6,Android Charger,9.99,3,card,3333444455551234
7,Laptop,799.99,7,cash,7480
7,CPU Upgrade,299.99,4,cash,7480
7,Chips,1.49,6,cash,7480
8,Webcam,24.98,3,card,6666555544440987
9,Notebook,1.49,4,card,4444333322228765
9,Chips,1.49,6,card,4444333322228765
9,Laptop Riser Stand,24.99,4,card,4444333322228765
9,Pencil,0.99,4,card,4444333322228765
9,Notebook,1.49,1,card,4444333322228765
10,Laptop Bag,19.99,7,cash,170
